Data Model Quntity
01.07.20 KKO-10 8
01.07.20 GGT-12 1
01.07.20 TRL-22 22
02.07.20 TRL-22 17
03.07.20 GGT-12 3
03.07.20 KKO-10 9
04.07.20 KKO-10 11
05.07.20 GGT-12 2
06.07.20 TRL-22 12
06.07.20 GGT-12 5
07.07.20 GGT-12 2
08.07.20 KKO-10 2
09.07.20 TRL-22 13
10.07.20 TRL-22 15
10.07.20 KKO-10 7
11.07.20 GGT-12 4
12.07.20 KKO-10 9
13.07.20 TRL-22 15
13.07.20 KKO-10 10
14.07.20 TRL-22 16
15.07.20 KKO-10 11
16.07.20 KKO-10 12
17.07.20 GGT-12 1
17.07.20 KKO-10 7
18.07.20 TRL-22 8
19.07.20 KKO-10 8
20.07.20 GGT-12 1
21.07.20 GGT-12 3
21.07.20 TRL-22 12
22.07.20 KKO-10 3
23.07.20 TRL-22 19
24.07.20 KKO-10 9
24.07.20 GGT-12 2
25.07.20 TRL-22 18
26.07.20 KKO-10 6
27.07.20 TRL-22 16
28.07.20 KKO-10 8
28.07.20 TRL-22 18
29.07.20 KKO-10 9
30.07.20 TRL-22 20
31.07.20 TRL-22 19
